text,label
You won a free trip to restaurant. Reply with your details.,1
Please send me the project file by 10 AM.,0
Reminder: Your electricity bill is due tomorrow.,0
Get cheap bags without prescription. Limited time!,1
Get cheap bags without prescription. Limited time!,1
Lowest prices on bags. Buy now at http://offer.com.,1
"Hey David, are we still on for conference?",0
Your loan is approved. Get instant cash at http://clickme.com,1
"Hi Mary, can we meet tomorrow at 3 PM?",0
Congratulations! You won $2000 cash. Click http://spamlink.com to claim now.,1
URGENT! Your account has been locked. Verify at http://clickme.com.,1
"Hey Alice, are we still on for family gathering?",0
Happy Birthday John! Wishing you a wonderful year.,0
You won a free trip to grandma's place. Reply with your details.,1
Meeting scheduled at 3 PM in restaurant. See you there.,0
Congratulations! You won $100 cash. Click http://offer.com to claim now.,1
Act Now! Win a free meds. Visit http://offer.com,1
Congratulations! You won $500 cash. Click http://clickme.com to claim now.,1
Let's catch up for coffee on tomorrow.,0
Congratulations! You won $100 cash. Click http://offer.com to claim now.,1
URGENT! Your account has been locked. Verify at http://clickme.com.,1
Lowest prices on meds. Buy now at http://clickme.com.,1
You are selected for a free watches. Reply YES to claim.,1
Act Now! Win a free watches. Visit http://clickme.com,1
URGENT! Your account has been locked. Verify at http://offer.com.,1
You won a free trip to hall. Reply with your details.,1
"Hi Mary, can we meet tomorrow at 10 AM?",0
Your loan is approved. Get instant cash at http://spamlink.com,1
Happy Birthday Bob! Wishing you a wonderful year.,0
Congratulations! You won $500 cash. Click http://spamlink.com to claim now.,1
Congratulations! You won $1000 cash. Click http://clickme.com to claim now.,1
Act Now! Win a free electronics. Visit http://clickme.com,1
Don't forget the conference this weekend.,0
Act Now! Win a free electronics. Visit http://spamlink.com,1
"Hi Mary, can we meet tomorrow at 5 PM?",0
Lowest prices on bags. Buy now at http://offer.com.,1
"Hi Bob, can we meet tomorrow at tomorrow?",0
Congratulations! You won $100 cash. Click http://clickme.com to claim now.,1
Happy Birthday John! Wishing you a wonderful year.,0
URGENT! Your account has been locked. Verify at http://spamlink.com.,1
"Hi Bob, can we meet tomorrow at 5 PM?",0
Happy Birthday Mary! Wishing you a wonderful year.,0
Your loan is approved. Get instant cash at http://spamlink.com,1
Act Now! Win a free electronics. Visit http://offer.com,1
Reminder: Your water bill is due today.,0
Please send me the presentation file by tomorrow.,0
Happy Birthday John! Wishing you a wonderful year.,0
Lowest prices on bags. Buy now at http://clickme.com.,1
Reminder: Your internet bill is due next week.,0
"Hey Bob, are we still on for meeting?",0
Congratulations! You won $100 cash. Click http://offer.com to claim now.,1
Reminder: Your internet bill is due next week.,0
URGENT! Your account has been locked. Verify at http://clickme.com.,1
Congratulations! You won $1000 cash. Click http://offer.com to claim now.,1
You won a free trip to hall. Reply with your details.,1
"Hey Mary, are we still on for meeting?",0
Meeting scheduled at tomorrow in office. See you there.,0
URGENT! Your account has been locked. Verify at http://spamlink.com.,1
Your loan is approved. Get instant cash at http://clickme.com,1
Your loan is approved. Get instant cash at http://offer.com,1
Get cheap shoes without prescription. Limited time!,1
Don't forget the family gathering this weekend.,0
You won a free trip to office. Reply with your details.,1
You won a free trip to office. Reply with your details.,1
"Hey Bob, are we still on for family gathering?",0
Congratulations! You won $1000 cash. Click http://clickme.com to claim now.,1
You are selected for a free meds. Reply YES to claim.,1
Your loan is approved. Get instant cash at http://spamlink.com,1
Get cheap watches without prescription. Limited time!,1
Happy Birthday David! Wishing you a wonderful year.,0
You won a free trip to hall. Reply with your details.,1
Act Now! Win a free bags. Visit http://spamlink.com,1
Meeting scheduled at 3 PM in restaurant. See you there.,0
Let's catch up for lunch on next week.,0
Congratulations! You won $1000 cash. Click http://offer.com to claim now.,1
URGENT! Your account has been locked. Verify at http://spamlink.com.,1
Reminder: Your internet bill is due today.,0
Happy Birthday David! Wishing you a wonderful year.,0
Congratulations! You won $2000 cash. Click http://clickme.com to claim now.,1
Your loan is approved. Get instant cash at http://clickme.com,1
Congratulations! You won $500 cash. Click http://clickme.com to claim now.,1
Happy Birthday Alice! Wishing you a wonderful year.,0
Lowest prices on watches. Buy now at http://clickme.com.,1
Your loan is approved. Get instant cash at http://offer.com,1
Act Now! Win a free shoes. Visit http://spamlink.com,1
Happy Birthday Alice! Wishing you a wonderful year.,0
"Hey Alice, are we still on for meeting?",0
Your loan is approved. Get instant cash at http://spamlink.com,1
Let's catch up for coffee on Friday.,0
Please send me the project file by tomorrow.,0
Reminder: Your water bill is due tomorrow.,0
"Hey Bob, are we still on for dinner?",0
Please send me the assignment file by tomorrow.,0
Please send me the presentation file by 5 PM.,0
Don't forget the dinner this weekend.,0
Your loan is approved. Get instant cash at http://offer.com,1
You won a free trip to hall. Reply with your details.,1
Act Now! Win a free watches. Visit http://spamlink.com,1
"Hi David, can we meet tomorrow at tomorrow?",0
Let's catch up for coffee on Friday.,0
Lowest prices on electronics. Buy now at http://clickme.com.,1
Your loan is approved. Get instant cash at http://spamlink.com,1
Don't forget the conference this weekend.,0
Your loan is approved. Get instant cash at http://spamlink.com,1
Get cheap bags without prescription. Limited time!,1
"Hi John, can we meet tomorrow at tomorrow?",0
Happy Birthday John! Wishing you a wonderful year.,0
Meeting scheduled at 5 PM in restaurant. See you there.,0
Please send me the project file by 10 AM.,0
You are selected for a free shoes. Reply YES to claim.,1
"Hey John, are we still on for dinner?",0
Don't forget the conference this weekend.,0
Act Now! Win a free bags. Visit http://clickme.com,1
Please send me the assignment file by 10 AM.,0
Meeting scheduled at 5 PM in restaurant. See you there.,0
Happy Birthday John! Wishing you a wonderful year.,0
Lowest prices on watches. Buy now at http://spamlink.com.,1
Reminder: Your water bill is due Friday.,0
URGENT! Your account has been locked. Verify at http://spamlink.com.,1
Please send me the project file by 5 PM.,0
Congratulations! You won $500 cash. Click http://spamlink.com to claim now.,1
Happy Birthday David! Wishing you a wonderful year.,0
You won a free trip to grandma's place. Reply with your details.,1
Let's catch up for dinner on today.,0
Please send me the report file by 10 AM.,0
Let's catch up for lunch on tomorrow.,0
Let's catch up for dinner on tomorrow.,0
Let's catch up for dinner on next week.,0
Don't forget the conference this weekend.,0
"Hey Alice, are we still on for dinner?",0
Happy Birthday David! Wishing you a wonderful year.,0
Don't forget the conference this weekend.,0
